#3 Parameters																																		
CONTROLLER_COUNT	4																																	
SERVER_PER_CONTROLLER	6																																	
REQUEST_COUNT	10000																																	
#Controllers 1 - 4																																		
1	5791	15214	2	3	0	7742	10118	14730																										
2	8281	19239	1	4	7742	0	15281	12964																										
3	10497	9374	1	0	10118	15281	0	18157																										
4	16596	18219	2	0	14730	12964	18157	0																										
#Servers 1 - 24																																		
1	3999	15451	55	1	3072	8793	10746	19186																										
2	2991	12435	90	1	5295	10539	10926	20564																										
3	4398	18354	100	1	4812	5333	13897	15632																										
4	6817	14585	70	1	1873	6650	9675	13602																										
5	3593	15798	55	1	3250	9612	12549	21065																										
6	4943	13742	95	1	2575	9736	9993	15592																										
7	8708	15897	75	2	4967	4768	10409	11933																										
8	8377	18980	70	2	6407	369	12078	10911																										
9	11635	16165	70	2	8186	6574	8799	7717																										
10	6582	19533	60	2	7330	2633	15820	14092																										
11	5533	18956	90	2	5619	4465	13051	14471																										
12	5299	16477	65	2	1713	4878	12925	17472																										
13	10805	11666	55	3	7960	12289	3300	12055																										
14	8047	10805	95	3	7256	10503	4480	15853																										
15	10230	9319	60	3	10072	12614	408	14060																										
16	13490	6560	70	3	15480	22429	6472	16125																										
17	11713	7670	55	3	11657	16428	3339	15677																										
18	8644	9237	65	3	9076	12235	2678	15631																										
19	19148	18839	90	4	23029	14849	18868	3257																										
20	17537	17589	100	4	15067	15623	16338	1556																										
21	14141	18079	60	4	14980	7558	11461	3375																										
22	16930	18487	70	4	18850	14004	17136	668																										
23	15475	18185	70	4	15677	9376	14284	1650																										
24	18799	18505	70	4	19517	13853	18630	3210																										
#Requests 1 - 10000																																		
1	15690	16836	4	10	30	7	14695	10216	13566	2284	19284	19340	14758	14116	19107	16853	11209	9761	6592	12361	17415	12819	8754	15544	12912	15047	12587	13034	5143	2442	3093	3028	2022	4617
2	12263	8667	3	22	45	12	11455	17141	2961	12669	15135	14022	16691	13613	17976	13789	11350	17272	10072	16900	17418	17501	4204	7199	2933	3053	1472	4539	17397	17408	14118	15735	16941	15460
3	6752	19263	2	7	40	16	7002	2261	17496	15132	6680	12055	3109	7383	7269	8416	4974	2164	7882	508	1540	4584	13592	13693	14355	24249	20203	15686	20497	17876	10539	12877	14740	19297
4	4895	16913	2	7	40	23	2695	5148	12568	17914	2786	7051	1972	4976	2377	4319	6256	5301	9653	4107	3508	895	10963	9587	15130	20089	19132	12460	19634	20689	12390	16140	13740	19222
5	12883	7824	3	18	35	23	16447	19334	4037	13676	16455	14949	21032	12318	19581	12635	13601	20191	11146	22205	16770	19470	6624	8518	5029	2086	1561	7284	15681	15354	16324	15087	14838	17077
6	8849	17207	2	6	45	28	4584	3220	13209	10280	8640	12264	6530	4797	8624	8445	1833	2381	4054	4569	4785	5472	7343	8404	12382	16867	12861	13519	14971	10453	7578	10999	10558	16513
7	3053	11786	1	7	35	36	5677	15383	12802	22351	5923	830	8909	5695	6534	4329	11155	12228	13734	12578	12151	7708	10093	6636	10491	17354	13156	8996	24825	23194	15618	22712	18211	28784
8	18973	17584	4	20	50	45	17803	13927	18259	2973	20715	25963	18320	15712	20830	20357	15391	14487	10073	20119	18303	19040	14126	20839	16901	19235	18793	18634	2123	2187	7082	2930	5293	1476
9	15077	19392	4	22	30	50	14093	8206	14841	3247	18585	20785	16124	12749	17497	18527	11832	8368	6940	11960	11815	14547	13679	16087	15689	21625	20638	17980	6023	4598	2007	2665	1705	4627
10	8620	19648	2	20	25	52	7379	653	14161	12167	9107	13708	6027	8893	10036	10352	5312	1113	5903	2510	4181	7252	13867	12164	16121	22284	15064	16627	15223	11927	8615	13882	11724	15638
11	13750	5940	3	23	25	52	16457	21443	7587	15379	16718	18627	21097	15583	20595	18434	15910	19198	12917	21581	22881	21365	9595	11439	7826	947	4272	9485	21627	19175	15742	20539	15271	17929
12	14632	16009	4	9	50	62	11795	9462	12175	4531	16892	19233	14218	12808	17217	16399	7769	9543	4432	12107	12454	13919	8770	10657	9854	14439	14307	13745	7528	4278	3080	5700	3698	6753
